error_RPA;msg_error_RPA;cup;numero_factura;contrato;direccion_suministro;fecha_emision;fecha_inicio_periodo;fecha_fin_periodo;estado_factura;importe_total;tipo_factura;descarga_selector;mes_facturado;tarifa;num_dias;potencia_p1;potencia_p2;potencia_p3;potencia_p4;potencia_p5;potencia_p6;termino_de_potencia_peaje;termino_de_potencia_cargos;importe_de_potencia;termino_de_energia_peaje;termino_de_energia_cargos;importe_atr;importe_exceso_potencia;importe_subtotal;importe_impuesto_electrico;importe_alquiler_equipos;importe_otros_conceptos;importe_reactiva;importe_base_imponible;importe_facturado;fecha_factura;fecha_de_vencimiento
False;;ES0031104177151015RT0F;171251N126640817;N/A;N/A;30/10/2025;N/A;N/A;Normal;352.26;De ciclo;171251N126640817;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
False;;ES0031104335888001EW0F;171251N126478964;N/A;N/A;28/10/2025;N/A;N/A;Normal;470.68;De ciclo;171251N126478964;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
False;;ES0031101494428001EE0F;171251N126480244;N/A;N/A;28/10/2025;N/A;N/A;Normal;492.24;De ciclo;171251N126480244;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
False;;ES0031104077072001VN0F;171251N126482328;N/A;N/A;28/10/2025;N/A;N/A;Normal;558.26;De ciclo;171251N126482328;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
False;;ES0031105453112001JZ0F;171251N126493675;N/A;N/A;28/10/2025;N/A;N/A;Normal;255.36;De ciclo;171251N126493675;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
False;;ES0031104029752001EM0F;171251N126505315;N/A;N/A;28/10/2025;N/A;N/A;Normal;402.62;De ciclo;171251N126505315;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
False;;ES0031105453112001JZ0F;171251N116147340;N/A;N/A;06/10/2025;N/A;N/A;Normal;380.91;De ciclo;171251N116147340;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
False;;ES0031102249931001TB0F;171251N116175928;N/A;N/A;06/10/2025;N/A;N/A;Normal;459.97;De ciclo;171251N116175928;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
False;;ES0031105427820001ZX0F;171251N116316271;N/A;N/A;06/10/2025;N/A;N/A;Normal;563.78;De ciclo;171251N116316271;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
False;;ES0031104029752001EM0F;171251N116335630;N/A;N/A;06/10/2025;N/A;N/A;Normal;682.25;De ciclo;171251N116335630;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
False;;ES0031104014607001XE0F;171251N116559582;N/A;N/A;06/10/2025;N/A;N/A;Normal;1960.45;De ciclo;171251N116559582;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
False;;ES0031104177151015RT0F;171251N116750092;N/A;N/A;06/10/2025;N/A;N/A;Normal;600.79;De ciclo;171251N116750092;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
False;;ES0031104335888001EW0F;171251N116787531;N/A;N/A;06/10/2025;N/A;N/A;Normal;759.11;De ciclo;171251N116787531;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
False;;ES0031101479328001JM0F;171251N114029490;N/A;N/A;01/10/2025;N/A;N/A;Normal;838.57;De ciclo;171251N114029490;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
False;;ES0031104897049006HS0F;171251N114034760;N/A;N/A;01/10/2025;N/A;N/A;Normal;1860.83;De ciclo;171251N114034760;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
False;;ES0031104518738001AW0F;171251N114252755;N/A;N/A;01/10/2025;N/A;N/A;Normal;3806.84;De ciclo;171251N114252755;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
False;;ES0031105176662001HD0F;171251N114318181;N/A;N/A;01/10/2025;N/A;N/A;Normal;1041.21;De ciclo;171251N114318181;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
False;;ES0031102442611002DL0F;171251N114327213;N/A;N/A;01/10/2025;N/A;N/A;Normal;1264.55;De ciclo;171251N114327213;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
False;;ES0031104077072001VN0F;171251N114416328;N/A;N/A;01/10/2025;N/A;N/A;Normal;969.79;De ciclo;171251N114416328;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
False;;ES0031104001632001RN0F;171251N126639314;N/A;N/A;30/10/2025;N/A;N/A;Normal;228.94;De ciclo;171251N126639314;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
False;;ES0031101458803001KK0F;171251N126644865;N/A;N/A;30/10/2025;N/A;N/A;Normal;366.91;De ciclo;171251N126644865;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
False;;ES0031101502108001ET0F;171251N126477198;N/A;N/A;28/10/2025;N/A;N/A;Normal;464.23;De ciclo;171251N126477198;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
False;;ES0031104001694001YG0F;171251N126485971;N/A;N/A;28/10/2025;N/A;N/A;Normal;591.79;De ciclo;171251N126485971;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
False;;ES0031104001632001RN0F;171251C000065386;N/A;N/A;13/10/2025;N/A;N/A;;134.98;;171251C000065386;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
False;;ES0031104005751001XB0F;171251N116486179;N/A;N/A;06/10/2025;N/A;N/A;Normal;1331.5;De ciclo;171251N116486179;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
